Strategy,Symbol,TF,Trades,WinRate,PnL,PF,Return
S1_ST+HMA,BTCUSD,H1,17,47.05882352941176,107.44318453167526,1.0736605964073775,1.0744318453167216
S5_HMA+ST+MACD,BTCUSD,H4,1,100.0,103.82137086978693,99.0,1.0382137086978764
S8_ST+ALL_Cons,BTCUSD,H1,16,31.25,94.02260829509729,1.0964068677555632,0.940226082950976
S3_UT+HMA+WT+MACD,EURUSD,H4,1,100.0,85.59644459428291,99.0,0.8559644459428273
S1_ST+HMA,GBPUSD,H1,11,36.36363636363637,74.7567259319207,1.0681265630505354,0.747567259319203
S4_UT+ST+HMA+MACD,EURUSD,H4,1,100.0,57.06429639618861,99.0,0.5706429639618908
S1_ST+HMA,USDJPY,H4,1,100.0,55.28917241828694,99.0,0.552891724182864
S3_UT+HMA+WT+MACD,USDJPY,H4,1,100.0,55.28917241828694,99.0,0.552891724182864
S2_ST+HMA+WT+MACD,USDJPY,H4,1,100.0,36.859448278857954,99.0,0.368594482788576
S4_UT+ST+HMA+MACD,USDJPY,H4,1,100.0,36.859448278857954,99.0,0.368594482788576
S1_ST+HMA,US30,M15,17,29.411764705882355,35.997493831250154,1.0214026481968286,0.3599749383124981
S2_ST+HMA+WT+MACD,USDJPY,H1,15,40.0,30.385473202656843,1.024398658444582,0.303854732026557
S8_ST+ALL_Cons,USDJPY,H4,1,100.0,27.64458620914347,99.0,0.2764458620914411
S1_ST+HMA,EURUSD,H1,17,35.294117647058826,11.300381665888807,1.0069524608205453,0.11300381665889289
S6_MACD+ST+HMA,BTCUSD,H4,2,50.0,-23.961353740382087,0.6791397206503791,-0.23961353740382038
S8_ST+ALL_Cons,GBPUSD,H4,1,0.0,-29.017615336244976,0.0,-0.2901761533624449
S8_ST+ALL_Cons,EURUSD,H4,1,0.0,-35.57751663583603,0.0,-0.35577516635836215
S2_ST+HMA+WT+MACD,GBPUSD,H4,1,0.0,-38.69015378165997,0.0,-0.3869015378165932
S4_UT+ST+HMA+MACD,GBPUSD,H4,1,0.0,-38.69015378165997,0.0,-0.3869015378165932
S8_ST+ALL_Cons,USDJPY,M15,56,35.714285714285715,-44.091573270561014,0.9883219015501626,-0.4409157327056346
S2_ST+HMA+WT+MACD,EURUSD,H4,1,0.0,-47.43668884778137,0.0,-0.4743668884778163
S1_ST+HMA,US30,H1,2,50.0,-52.476001529418824,0.6314130002305001,-0.5247600152941777
S4_UT+ST+HMA+MACD,BTCUSD,H1,19,36.84210526315789,-58.61217018004922,0.9598643874831847,-0.5861217018004754
S7_WT+ST+HMA,BTCUSD,H4,3,33.33333333333333,-63.76368449650869,0.642261600472051,-0.6376368449650909
S5_HMA+ST+MACD,GBPUSD,M15,61,40.98360655737705,-66.95423201182427,0.9864096580095925,-0.6695423201182712
S7_WT+ST+HMA,EURUSD,H1,13,38.46153846153847,-71.26338591454646,0.9367997047859612,-0.7126338591454987
S6_MACD+ST+HMA,GBPUSD,H1,9,33.33333333333333,-72.77924899706082,0.9161944675824129,-0.7277924899706341
S5_HMA+ST+MACD,USDJPY,H1,14,50.0,-76.90174067467586,0.9199928123996459,-0.7690174067467523
S2_ST+HMA+WT+MACD,US30,H1,2,50.0,-103.73410089824705,0.3656774317589683,-1.0373410089824757
S8_ST+ALL_Cons,US30,H1,2,50.0,-118.6843886152231,0.27425807381922507,-1.186843886152219
S6_MACD+ST+HMA,US30,H1,2,50.0,-125.80722946336527,0.23070268884126222,-1.2580722946336573
S8_ST+ALL_Cons,EURUSD,H1,14,35.714285714285715,-135.307691611236,0.8703492435553819,-1.3530769161123497
S1_ST+HMA,GBPUSD,H4,1,0.0,-142.69021881275958,0.0,-1.4269021881275874
S3_UT+HMA+WT+MACD,GBPUSD,H4,1,0.0,-142.69021881275958,0.0,-1.4269021881275874
S1_ST+HMA,EURUSD,H4,1,0.0,-149.21997629440796,0.0,-1.4921997629440737
S6_MACD+ST+HMA,USDJPY,H1,11,36.36363636363637,-154.30340935501815,0.8434842789223094,-1.5430340935501954
S3_UT+HMA+WT+MACD,GBPUSD,H1,14,28.57142857142857,-156.1765020824444,0.8816594285493661,-1.5617650208244778
S3_UT+HMA+WT+MACD,BTCUSD,H4,4,25.0,-166.06867721520177,0.5698592967568346,-1.6606867721520393
S5_HMA+ST+MACD,GBPUSD,H4,1,0.0,-176.16647819071918,0.0,-1.761664781907184
S6_MACD+ST+HMA,USDJPY,H4,1,0.0,-211.3111978090127,0.0,-2.113111978090128
S7_WT+ST+HMA,USDJPY,H4,1,0.0,-211.3111978090127,0.0,-2.113111978090128
S5_HMA+ST+MACD,EURUSD,H4,1,0.0,-220.68077482285383,0.0,-2.2068077482285298
S2_ST+HMA+WT+MACD,USDJPY,M15,60,38.333333333333336,-225.5256801993495,0.9529215303187591,-2.2552568019935095
S4_UT+ST+HMA+MACD,BTCUSD,H4,4,25.0,-238.06740089913478,0.3611203008401809,-2.3806740089913547
S6_MACD+ST+HMA,BTCUSD,H1,12,41.66666666666667,-242.27481070042424,0.7282584849432653,-2.422748107004245
S5_HMA+ST+MACD,USDJPY,M15,54,40.74074074074074,-257.07656604028523,0.9403213145128436,-2.570765660402849
