Strategy,Symbol,Timeframe,Trades,Win_Rate,PnL_Pct,Profit_Factor,Max_Drawdown,Sharpe_Ratio,Avg_Win,Avg_Loss,Max_Consec_Wins,Max_Consec_Losses,Score
ST2.0+HMA+WT+MACD,GBPUSD,M15,350,43.14,30.68,1.12,30.3,0.78,2.07,-1.41,6,8,19.78
ST3.0+HMA+WT+MACD,US30,H1,108,44.44,19.64,1.22,9.65,1.46,2.3,-1.51,4,5,19.58
UT+HMA+WT+MACD_default,USDJPY,H4,167,44.91,22.19,1.18,17.63,1.22,1.95,-1.34,4,6,19.4
MACD+UT+WT,GBPUSD,H4,156,44.87,20.06,1.18,13.13,1.18,1.98,-1.37,7,6,19.16
ST+ALL_conservative,GBPUSD,M15,341,40.18,26.31,1.13,18.73,0.79,1.79,-1.07,6,10,18.92
ST3.0+HMA+WT+MACD,USDJPY,H4,78,46.15,14.8,1.25,8.64,1.58,2.13,-1.46,3,6,18.8
WT+EMA200+MACD,BTCUSD,H1,1116,43.01,33.51,1.05,44.18,0.37,1.89,-1.35,10,13,18.77
UT+ST+HMA+MACD,USDJPY,H4,170,44.71,20.14,1.17,17.63,1.11,1.95,-1.35,4,7,18.62
ST3.0+HMA+WT+MACD,US30,H4,27,48.15,7.88,1.39,4.74,2.29,2.26,-1.52,4,3,18.42
UT+ALL_conservative,BTCUSD,H4,221,43.89,20.03,1.14,19.81,0.94,1.74,-1.19,5,7,17.99
UT+ST+WT,GBPUSD,M15,423,42.79,22.05,1.08,21.99,0.56,1.93,-1.33,9,10,17.7
UT+EMA200+MACD,USDJPY,H4,173,44.51,17.76,1.15,19.1,0.99,1.94,-1.36,4,7,17.58
ST+ALL_conservative,GBPUSD,H4,149,43.62,15.31,1.17,11.84,1.08,1.69,-1.12,5,6,17.47
UT+EMA200+MACD,GBPUSD,M15,454,42.95,21.02,1.08,24.02,0.52,1.92,-1.35,9,11,17.18
UT_solo+ST_tight,EURUSD,H4,151,42.38,15.98,1.13,14.28,0.9,2.4,-1.55,5,7,16.91
UT+HMA+WT+MACD_default,GBPUSD,M15,420,42.62,18.54,1.07,22.31,0.5,1.93,-1.34,9,10,16.51
ST2.0+HMA+WT+MACD,US30,H4,45,44.44,9.03,1.27,11.05,1.67,2.27,-1.43,3,7,16.5
WT+ST+HMA,GBPUSD,M15,402,42.29,19.52,1.08,25.0,0.53,1.96,-1.33,5,9,16.48
ST3.0+HMA+WT+MACD,EURUSD,H4,84,47.62,10.19,1.17,16.59,1.12,1.96,-1.53,7,7,16.48
WT+EMA200+MACD,GBPUSD,M15,404,42.33,19.15,1.08,25.0,0.52,1.96,-1.34,5,9,16.37
ST+HMA+WT+MACD_wide,US30,H4,48,39.58,9.51,1.35,8.04,1.95,1.98,-0.96,2,8,16.11
WT+ST+HMA,BTCUSD,H1,1116,42.74,25.08,1.05,44.86,0.32,1.89,-1.35,10,13,16.06
WT+ST+HMA+MACD,GBPUSD,M15,403,42.18,18.29,1.08,25.77,0.51,1.96,-1.33,5,10,15.99
ST+HMA+MACD_only,USDJPY,H1,723,42.46,23.96,1.06,43.05,0.41,1.94,-1.35,6,8,15.92
ST+WT+MACD_only,USDJPY,H1,723,42.46,23.96,1.06,43.05,0.41,1.94,-1.35,6,8,15.92
ST+UT+HMA,USDJPY,H1,723,42.46,23.96,1.06,43.05,0.41,1.94,-1.35,6,8,15.92
ST+EMA200+HMA,GBPUSD,H4,173,43.93,12.56,1.11,19.13,0.74,1.99,-1.41,5,6,15.61
HMA+ST+WT+MACD,EURUSD,M15,330,40.91,16.4,1.08,22.27,0.55,2.06,-1.32,6,12,15.49
UT_solo+ST_tight,GBPUSD,H4,149,42.95,14.0,1.12,24.44,0.84,2.28,-1.53,6,9,15.38
WT+ST+HMA+MACD,BTCUSD,H1,1117,42.7,22.65,1.04,45.12,0.3,1.89,-1.35,10,13,15.27
UT+ST+HMA+MACD,GBPUSD,M15,445,42.7,13.94,1.06,21.01,0.4,1.91,-1.35,9,11,15.17
UT+ALL_conservative,GBPUSD,M15,352,41.76,14.46,1.08,22.8,0.5,1.68,-1.12,6,10,15.03
ST+EMA200+HMA,USDJPY,H1,718,42.34,20.98,1.05,42.93,0.38,1.94,-1.35,6,8,14.98
ST+HMA+WT+MACD_default,BTCUSD,H1,1101,43.69,19.94,1.04,43.03,0.29,1.84,-1.37,9,12,14.9
ST+HMA+WT_only,BTCUSD,H1,1101,43.69,19.94,1.04,43.03,0.29,1.84,-1.37,9,12,14.9
ST1.5+HMA+WT+MACD,US30,H4,57,43.86,6.43,1.17,11.96,1.12,1.96,-1.31,5,10,14.87
ST+ALL_conservative,US30,H4,42,40.48,6.18,1.28,9.32,1.64,1.74,-0.93,4,8,14.83
MACD+ST+HMA+WT,GBPUSD,H4,150,43.33,8.98,1.09,14.34,0.65,1.96,-1.37,7,5,14.77
ST+HMA+MACD_only,GBPUSD,H4,176,43.75,10.24,1.09,19.13,0.63,1.99,-1.42,5,6,14.75
ST+WT+MACD_only,GBPUSD,H4,176,43.75,10.24,1.09,19.13,0.63,1.99,-1.42,5,6,14.75
ST+UT+HMA,GBPUSD,H4,176,43.75,10.24,1.09,19.13,0.63,1.99,-1.42,5,6,14.75
ST+HMA+WT+MACD_default,USDJPY,H1,710,42.54,19.86,1.05,42.82,0.37,1.93,-1.35,6,8,14.69
ST+HMA+WT_only,USDJPY,H1,710,42.54,19.86,1.05,42.82,0.37,1.93,-1.35,6,8,14.69
HMA+ST+WT+MACD,BTCUSD,H4,242,42.98,10.02,1.07,16.1,0.5,1.93,-1.36,4,10,14.65
MACD+ST+HMA,EURUSD,H4,155,43.87,10.72,1.11,23.53,0.74,1.91,-1.35,6,8,14.6
ST+HMA+WT+MACD_default,GBPUSD,H4,171,43.86,9.68,1.09,19.13,0.62,1.97,-1.41,5,7,14.6
ST+HMA+WT_only,GBPUSD,H4,171,43.86,9.68,1.09,19.13,0.62,1.97,-1.41,5,7,14.6
HMA+ST+WT+MACD,GBPUSD,H4,167,42.51,9.35,1.09,14.98,0.62,1.93,-1.31,5,7,14.59
UT_fast+ST+HMA,EURUSD,H4,197,41.62,9.27,1.07,15.19,0.51,2.31,-1.53,7,10,14.2
MACD+UT+WT,EURUSD,H4,154,43.51,9.02,1.09,23.93,0.65,1.93,-1.36,6,9,13.86
WT+EMA200+MACD,USDJPY,H4,184,44.57,7.97,1.07,23.68,0.52,1.85,-1.38,5,9,13.7
UT_solo+ST_tight,USDJPY,M15,242,40.08,13.15,1.08,32.69,0.55,2.46,-1.52,6,11,13.27
UT+ALL_conservative,US30,H4,38,42.11,1.74,1.09,5.69,0.59,1.65,-1.1,3,6,13.11
UT_fast+ST+HMA,US30,H4,58,39.66,4.74,1.11,10.77,0.76,2.56,-1.51,4,5,13.05
UT+ST+HMA+MACD,GBPUSD,H4,190,42.11,5.4,1.05,15.71,0.39,2.01,-1.39,5,7,12.97
MACD+ST+HMA+WT,EURUSD,H4,147,43.54,6.18,1.07,23.12,0.51,1.86,-1.34,6,8,12.96
ST+ALL_conservative,BTCUSD,H4,220,40.91,7.85,1.07,21.33,0.46,1.84,-1.19,6,9,12.93
UT+ST+WT,BTCUSD,H4,253,43.08,8.29,1.06,28.71,0.42,1.99,-1.42,6,7,12.82
ST2.0+HMA+WT+MACD,GBPUSD,H4,141,44.68,2.57,1.04,14.54,0.3,1.9,-1.47,5,7,12.8
